home,away,ft
Toronto FC,DC United,"[1, 3]"
New York Red Bulls,Philadelphia Union,"[0, 2]"
Columbus Crew,New York City FC,"[4, 2]"
FC Cincinnati,CF Montreal,"[4, 1]"
Charlotte,Atlanta United FC,"[0, 1]"
FC Dallas,Colorado Rapids,"[2, 3]"
Chicago Fire,Inter Miami,"[1, 4]"
Austin,Vancouver Whitecaps,"[0, 1]"
Real Salt Lake,New England Revolution,"[2, 0]"
San Jose Earthquakes,Minnesota United FC,"[1, 2]"
Los Angeles FC,Houston Dynamo,"[0, 2]"
Portland Timbers,Seattle Sounders,"[1, 0]"
St. Louis City,Los Angeles Galaxy,"[2, 1]"
New York Red Bulls,Sporting Kansas City,"[1, 1]"
New England Revolution,St. Louis City,"[2, 2]"
Columbus Crew,Seattle Sounders,"[0, 4]"
Houston Dynamo,Los Angeles FC,"[0, 0]"
Chicago Fire,DC United,"[1, 2]"
Vancouver Whitecaps,FC Dallas,"[0, 0]"
Orlando City SC,New England Revolution,"[3, 0]"
Toronto FC,Austin,"[2, 1]"
Atlanta United FC,Nashville SC,"[0, 2]"
CF Montreal,Charlotte,"[2, 1]"
DC United,New York City FC,"[1, 1]"
FC Cincinnati,Columbus Crew,"[0, 0]"
Inter Miami,Philadelphia Union,"[3, 1]"
Houston Dynamo,Real Salt Lake,"[4, 1]"
Chicago Fire,New York Red Bulls,"[2, 1]"
St. Louis City,Minnesota United FC,"[1, 3]"
Colorado Rapids,Portland Timbers,"[2, 1]"
Vancouver Whitecaps,San Jose Earthquakes,"[2, 0]"
Los Angeles Galaxy,Los Angeles FC,"[4, 2]"
Seattle Sounders,Sporting Kansas City,"[2, 0]"
Toronto FC,Columbus Crew,"[0, 2]"
New York City FC,Philadelphia Union,"[1, 5]"
Atlanta United FC,Inter Miami,"[2, 2]"
New England Revolution,CF Montreal,"[2, 2]"
Orlando City SC,Charlotte,"[2, 0]"
Houston Dynamo,Vancouver Whitecaps,"[1, 1]"
Sporting Kansas City,Colorado Rapids,"[4, 1]"
Minnesota United FC,FC Cincinnati,"[1, 2]"
