home,away,ft
Florida Panthers,San Jose Sharks,"[3, 1]"
Ottawa Senators,Nashville Predators,"[3, 1]"
Pittsburgh Penguins,Toronto Maple Leafs,"[5, 2]"
Montreal Canadiens,Washington Capitals,"[2, 4]"
Detroit Red Wings,Colorado Avalanche,"[1, 2]"
Los Angeles Kings,Minnesota Wild,"[4, 1]"
Edmonton Oilers,St. Louis Blues,"[4, 2]"
New York Rangers,Seattle Kraken,"[5, 7]"
Vancouver Canucks,Tampa Bay Lightning,"[2, 4]"
Ottawa Senators,New York Islanders,"[2, 4]"
Winnipeg Jets,Columbus Blue Jackets,"[1, 4]"
New Jersey Devils,Colorado Avalanche,"[0, 4]"
Philadelphia Flyers,Utah Mammoth,"[2, 4]"
Dallas Stars,Calgary Flames,"[6, 2]"
New York Rangers,Chicago Blackhawks,"[1, 2]"
Carolina Hurricanes,San Jose Sharks,"[3, 2]"
Columbus Blue Jackets,Philadelphia Flyers,"[3, 5]"
Pittsburgh Penguins,Colorado Avalanche,"[2, 6]"
New York Islanders,Los Angeles Kings,"[1, 3]"
Nashville Predators,Calgary Flames,"[3, 4]"
Winnipeg Jets,Boston Bruins,"[8, 1]"
Edmonton Oilers,Tampa Bay Lightning,"[2, 1]"
Buffalo Sabres,New York Rangers,"[2, 3]"
Ottawa Senators,Anaheim Ducks,"[5, 1]"
Montreal Canadiens,Pittsburgh Penguins,"[2, 9]"
New Jersey Devils,Los Angeles Kings,"[3, 1]"
Philadelphia Flyers,Detroit Red Wings,"[4, 1]"
Toronto Maple Leafs,Anaheim Ducks,"[3, 2]"
New York Islanders,Chicago Blackhawks,"[5, 4]"
Dallas Stars,Nashville Predators,"[1, 4]"
St. Louis Blues,San Jose Sharks,"[3, 4]"
Minnesota Wild,Edmonton Oilers,"[1, 7]"
Calgary Flames,Tampa Bay Lightning,"[3, 8]"
Colorado Avalanche,Utah Mammoth,"[1, 4]"
Seattle Kraken,Boston Bruins,"[5, 1]"
Vancouver Canucks,Florida Panthers,"[4, 0]"
Carolina Hurricanes,Ottawa Senators,"[0, 3]"
New Jersey Devils,Chicago Blackhawks,"[4, 1]"
New York Rangers,Los Angeles Kings,"[1, 5]"
Minnesota Wild,Philadelphia Flyers,"[4, 1]"
Edmonton Oilers,Vegas Golden Knights,"[6, 3]"
Detroit Red Wings,Toronto Maple Leafs,"[4, 2]"
Washington Capitals,Buffalo Sabres,"[4, 2]"
Winnipeg Jets,Montreal Canadiens,"[4, 2]"
Colorado Avalanche,Nashville Predators,"[5, 2]"
Seattle Kraken,Tampa Bay Lightning,"[1, 5]"
Vancouver Canucks,Boston Bruins,"[1, 5]"
San Jose Sharks,Utah Mammoth,"[3, 4]"
Calgary Flames,Florida Panthers,"[3, 0]"
Chicago Blackhawks,New York Islanders,"[5, 3]"
Carolina Hurricanes,Columbus Blue Jackets,"[4, 1]"
Toronto Maple Leafs,Buffalo Sabres,"[5, 3]"
Minnesota Wild,Vegas Golden Knights,"[2, 3]"
St. Louis Blues,New York Rangers,"[3, 2]"
Dallas Stars,Washington Capitals,"[3, 1]"
Edmonton Oilers,Florida Panthers,"[5, 6]"
Vancouver Canucks,Colorado Avalanche,"[3, 1]"
Tampa Bay Lightning,Columbus Blue Jackets,"[5, 3]"
Montreal Canadiens,Buffalo Sabres,"[6, 1]"
Carolina Hurricanes,New York Islanders,"[4, 0]"
Nashville Predators,New York Rangers,"[2, 0]"
St. Louis Blues,New Jersey Devils,"[1, 4]"
Chicago Blackhawks,Washington Capitals,"[3, 2]"
Seattle Kraken,Ottawa Senators,"[0, 3]"
San Jose Sharks,Winnipeg Jets,"[3, 4]"
Detroit Red Wings,Philadelphia Flyers,"[6, 4]"
