home,away,ft
River Plate,Banfield,"[3, 1]"
Belgrano Cordoba,Defensa Y Justicia,"[1, 2]"
Tigre,Platense,"[0, 0]"
Racing Club,Instituto Cordoba,"[2, 0]"
Lanus,Boca Juniors,"[1, 0]"
Atletico Tucuman,Sarmiento Junin,"[1, 0]"
Independ. Rivadavia,Rosario Central,"[1, 1]"
Gimnasia L.P.,Central Cordoba de Santiago,"[0, 0]"
San Lorenzo,Estudiantes L.P.,"[1, 1]"
Independiente,Union Santa Fe,"[3, 0]"
Newells Old Boys,Huracan,"[2, 4]"
Barracas Central,Racing Club,"[0, 2]"
Banfield,Belgrano Cordoba,"[1, 1]"
Boca Juniors,Godoy Cruz,"[4, 1]"
Instituto Cordoba,River Plate,"[2, 3]"
Talleres Cordoba,Lanus,"[1, 2]"
Defensa Y Justicia,Argentinos JRS,"[2, 1]"
Platense,Deportivo Riestra,"[0, 0]"
Velez Sarsfield,Tigre,"[1, 0]"
Union Santa Fe,Atletico Tucuman,"[1, 0]"
Gimnasia L.P.,Newells Old Boys,"[1, 0]"
Rosario Central,San Lorenzo,"[0, 1]"
Huracan,Independiente,"[1, 0]"
Central Cordoba de Santiago,Estudiantes L.P.,"[1, 1]"
River Plate,Barracas Central,"[3, 0]"
Godoy Cruz,Talleres Cordoba,"[0, 1]"
Racing Club,Independ. Rivadavia,"[2, 1]"
Sarmiento Junin,Boca Juniors,"[0, 2]"
Deportivo Riestra,Velez Sarsfield,"[1, 1]"
Lanus,Platense,"[0, 0]"
Tigre,Defensa Y Justicia,"[0, 4]"
Belgrano Cordoba,Instituto Cordoba,"[3, 1]"
Argentinos JRS,Banfield,"[1, 0]"
San Lorenzo,Racing Club,"[1, 2]"
Banfield,Tigre,"[0, 1]"
Defensa Y Justicia,Deportivo Riestra,"[1, 1]"
Platense,Godoy Cruz,"[1, 0]"
Atletico Tucuman,Huracan,"[4, 2]"
Instituto Cordoba,Argentinos JRS,"[1, 0]"
Newells Old Boys,Central Cordoba de Santiago,"[2, 3]"
Velez Sarsfield,Lanus,"[0, 0]"
Estudiantes L.P.,Rosario Central,"[1, 1]"
Boca Juniors,Union Santa Fe,"[1, 0]"
Barracas Central,Belgrano Cordoba,"[1, 1]"
Independiente,Gimnasia L.P.,"[1, 0]"
Talleres Cordoba,Sarmiento Junin,"[2, 0]"
Independ. Rivadavia,River Plate,"[2, 1]"
Tigre,Instituto Cordoba,"[0, 0]"
Huracan,Boca Juniors,"[0, 0]"
Gimnasia L.P.,Atletico Tucuman,"[1, 0]"
Deportivo Riestra,Banfield,"[1, 1]"
Godoy Cruz,Velez Sarsfield,"[0, 0]"
Lanus,Defensa Y Justicia,"[0, 0]"
Central Cordoba de Santiago,Rosario Central,"[0, 1]"
Belgrano Cordoba,Independ. Rivadavia,"[0, 2]"
Argentinos JRS,Barracas Central,"[0, 1]"
Newells Old Boys,Independiente,"[2, 1]"
Union Santa Fe,Talleres Cordoba,"[2, 3]"
Sarmiento Junin,Platense,"[1, 0]"
San Lorenzo,Belgrano Cordoba,"[0, 2]"
Estudiantes L.P.,River Plate,"[1, 2]"
Rosario Central,Racing Club,"[0, 2]"
Banfield,Lanus,"[0, 1]"
Defensa Y Justicia,Godoy Cruz,"[2, 1]"
Instituto Cordoba,Deportivo Riestra,"[2, 1]"
Independiente,Central Cordoba de Santiago,"[2, 0]"
Velez Sarsfield,Sarmiento Junin,"[1, 0]"
Boca Juniors,Gimnasia L.P.,"[1, 0]"
Barracas Central,Tigre,"[0, 0]"
Platense,Union Santa Fe,"[1, 0]"
Talleres Cordoba,Huracan,"[1, 0]"
Independ. Rivadavia,Argentinos JRS,"[2, 1]"
Atletico Tucuman,Newells Old Boys,"[0, 0]"
Racing Club,Estudiantes L.P.,"[4, 5]"
River Plate,San Lorenzo,"[1, 1]"
Deportivo Riestra,Barracas Central,"[0, 0]"
Sarmiento Junin,Defensa Y Justicia,"[1, 1]"
Lanus,Instituto Cordoba,"[2, 0]"
Union Santa Fe,Velez Sarsfield,"[1, 0]"
Central Cordoba de Santiago,Racing Club,"[3, 1]"
Gimnasia L.P.,Talleres Cordoba,"[0, 1]"
