home,away,ft
Madison Capitols,Dubuque Fighting Saints,"[3, 1]"
Muskegon Lumberjacks,Green Bay Gamblers,"[6, 3]"
Dubuque Fighting Saints,Waterloo Black Hawks,"[3, 7]"
Lincoln Stars,Sioux Falls Stampede,"[2, 4]"
Madison Capitols,Cedar Rapids,"[3, 1]"
Omaha Lancers,Des Moines Buccaneers,"[2, 4]"
Tri-City Storm,Youngstown Phantoms,"[1, 4]"
Muskegon Lumberjacks,Green Bay Gamblers,"[6, 3]"
USA U18,Chicago Steel,"[2, 3]"
Tri-City Storm,Youngstown Phantoms,"[2, 4]"
Fargo Force,Sioux City,"[4, 6]"
Lincoln Stars,Sioux Falls Stampede,"[4, 6]"
Cedar Rapids,Waterloo Black Hawks,"[1, 3]"
Dubuque Fighting Saints,Madison Capitols,"[3, 5]"
Muskegon Lumberjacks,Green Bay Gamblers,"[6, 1]"
USA U18,Chicago Steel,"[2, 11]"
Sioux Falls Stampede,Fargo Force,"[6, 3]"
Omaha Lancers,Sioux Falls Stampede,"[2, 3]"
Youngstown Phantoms,Fargo Force,"[6, 1]"
Muskegon Lumberjacks,Madison Capitols,"[2, 6]"
Des Moines Buccaneers,USA U18,"[4, 8]"
Cedar Rapids,USA U18,"[7, 1]"
Waterloo Black Hawks,Sioux Falls Stampede,"[5, 2]"
Youngstown Phantoms,Fargo Force,"[5, 3]"
Muskegon Lumberjacks,Madison Capitols,"[2, 5]"
Chicago Steel,Sioux City,"[3, 5]"
Lincoln Stars,Des Moines Buccaneers,"[6, 2]"
Tri-City Storm,Omaha Lancers,"[3, 1]"
Waterloo Black Hawks,USA U18,"[1, 3]"
Cedar Rapids,USA U18,"[6, 4]"
Muskegon Lumberjacks,Madison Capitols,"[3, 2]"
Chicago Steel,Sioux City,"[2, 6]"
Green Bay Gamblers,USA U18,"[6, 2]"
Youngstown Phantoms,Waterloo Black Hawks,"[6, 0]"
Des Moines Buccaneers,Cedar Rapids,"[3, 2]"
Sioux City,Dubuque Fighting Saints,"[4, 2]"
Green Bay Gamblers,Sioux Falls Stampede,"[4, 2]"
Madison Capitols,Lincoln Stars,"[1, 3]"
Fargo Force,Tri-City Storm,"[6, 2]"
Youngstown Phantoms,Chicago Steel,"[5, 3]"
USA U18,Waterloo Black Hawks,"[5, 1]"
Fargo Force,Tri-City Storm,"[6, 3]"
Green Bay Gamblers,Sioux Falls Stampede,"[2, 9]"
Omaha Lancers,Dubuque Fighting Saints,"[1, 5]"
Sioux City,Cedar Rapids,"[2, 1]"
Muskegon Lumberjacks,Waterloo Black Hawks,"[3, 4]"
Sioux City,Tri-City Storm,"[2, 5]"
Omaha Lancers,Cedar Rapids,"[2, 4]"
USA U18,Youngstown Phantoms,"[3, 7]"
Muskegon Lumberjacks,Chicago Steel,"[2, 0]"
Des Moines Buccaneers,Omaha Lancers,"[4, 2]"
Cedar Rapids,Green Bay Gamblers,"[6, 0]"
Fargo Force,Sioux Falls Stampede,"[6, 3]"
Lincoln Stars,Tri-City Storm,"[4, 2]"
Youngstown Phantoms,USA U18,"[6, 1]"
Des Moines Buccaneers,Sioux City,"[4, 1]"
Chicago Steel,Muskegon Lumberjacks,"[2, 4]"
Sioux Falls Stampede,Fargo Force,"[5, 2]"
Waterloo Black Hawks,Omaha Lancers,"[5, 0]"
Dubuque Fighting Saints,Cedar Rapids,"[4, 2]"
Madison Capitols,Green Bay Gamblers,"[6, 5]"
Muskegon Lumberjacks,Cedar Rapids,"[2, 1]"
Waterloo Black Hawks,Tri-City Storm,"[2, 1]"
Madison Capitols,Green Bay Gamblers,"[4, 3]"
Muskegon Lumberjacks,Cedar Rapids,"[3, 4]"
Waterloo Black Hawks,Tri-City Storm,"[7, 3]"
Madison Capitols,Green Bay Gamblers,"[5, 3]"
Sioux City,Fargo Force,"[7, 0]"
Muskegon Lumberjacks,Cedar Rapids,"[4, 1]"
Sioux City,Fargo Force,"[5, 2]"
Dubuque Fighting Saints,Madison Capitols,"[0, 3]"
Lincoln Stars,Sioux City,"[3, 2]"
Sioux Falls Stampede,Waterloo Black Hawks,"[2, 4]"
Youngstown Phantoms,Muskegon Lumberjacks,"[3, 5]"
Lincoln Stars,Sioux City,"[6, 3]"
Sioux Falls Stampede,Waterloo Black Hawks,"[5, 2]"
Dubuque Fighting Saints,Madison Capitols,"[6, 1]"
Youngstown Phantoms,Muskegon Lumberjacks,"[2, 6]"
Madison Capitols,Dubuque Fighting Saints,"[2, 4]"
Waterloo Black Hawks,Sioux Falls Stampede,"[6, 2]"
Sioux City,Lincoln Stars,"[0, 2]"
Madison Capitols,Dubuque Fighting Saints,"[1, 6]"
Muskegon Lumberjacks,Youngstown Phantoms,"[5, 3]"
Dubuque Fighting Saints,Muskegon Lumberjacks,"[1, 2]"
Lincoln Stars,Waterloo Black Hawks,"[4, 6]"
Lincoln Stars,Waterloo Black Hawks,"[4, 3]"
Dubuque Fighting Saints,Muskegon Lumberjacks,"[4, 7]"
Muskegon Lumberjacks,Dubuque Fighting Saints,"[3, 1]"
Waterloo Black Hawks,Lincoln Stars,"[5, 0]"
Waterloo Black Hawks,Lincoln Stars,"[3, 0]"
Waterloo Black Hawks,Muskegon Lumberjacks,"[8, 5]"
Waterloo Black Hawks,Muskegon Lumberjacks,"[1, 4]"
