home,away,ft
Omaha Storm Chasers,Columbus Clippers,"[9, 8]"
Buffalo Bisons,St. Paul,"[3, 18]"
Worcester,Norfolk Tides,"[3, 6]"
Buffalo Bisons,St. Paul,"[5, 1]"
Louisville Bats,Toledo Mud Hens,"[8, 9]"
Scranton/WB,Syracuse Mets,"[3, 2]"
Nashville Sounds,Charlotte Knights,"[6, 2]"
Durham Bulls,Memphis Redbirds,"[1, 0]"
Lehigh Valley IronPigs,Rochester Red Wings,"[5, 2]"
Scranton/WB,Syracuse Mets,"[2, 4]"
Gwinnett Stripers,Jacksonville Jumbo Shrimp,"[11, 12]"
Omaha Storm Chasers,Columbus Clippers,"[10, 3]"
Iowa Cubs,Indianapolis Indians,"[8, 10]"
Nashville Sounds,Charlotte Knights,"[2, 1]"
Louisville Bats,Toledo Mud Hens,"[4, 2]"
Worcester,Norfolk Tides,"[5, 9]"
Buffalo Bisons,St. Paul,"[4, 7]"
Scranton/WB,Syracuse Mets,"[7, 3]"
Durham Bulls,Memphis Redbirds,"[4, 5]"
Louisville Bats,Toledo Mud Hens,"[4, 3]"
Lehigh Valley IronPigs,Rochester Red Wings,"[6, 10]"
Gwinnett Stripers,Jacksonville Jumbo Shrimp,"[3, 8]"
Nashville Sounds,Charlotte Knights,"[4, 3]"
Omaha Storm Chasers,Columbus Clippers,"[6, 5]"
Iowa Cubs,Indianapolis Indians,"[12, 0]"
Scranton/WB,Syracuse Mets,"[6, 9]"
Worcester,Norfolk Tides,"[5, 9]"
Gwinnett Stripers,Jacksonville Jumbo Shrimp,"[2, 10]"
Buffalo Bisons,St. Paul,"[0, 7]"
Lehigh Valley IronPigs,Rochester Red Wings,"[6, 3]"
Durham Bulls,Memphis Redbirds,"[3, 4]"
Omaha Storm Chasers,Columbus Clippers,"[4, 3]"
Iowa Cubs,Indianapolis Indians,"[6, 5]"
Louisville Bats,Toledo Mud Hens,"[9, 3]"
