home,away,ft
Lotte Giants,Kiwoom Heroes,"[2, 5]"
Doosan Bears,Hanwha Eagles,"[1, 6]"
Samsung Lions,LG Twins,"[5, 4]"
SSG Landers,KIA Tigers,"[7, 13]"
Doosan Bears,Hanwha Eagles,"[3, 4]"
Lotte Giants,Kiwoom Heroes,"[9, 2]"
NC Dinos,KT Wiz Suwon,"[8, 11]"
Doosan Bears,Hanwha Eagles,"[9, 6]"
Lotte Giants,Kiwoom Heroes,"[18, 10]"
NC Dinos,KT Wiz Suwon,"[5, 3]"
Samsung Lions,LG Twins,"[6, 3]"
SSG Landers,KIA Tigers,"[7, 1]"
Hanwha Eagles,SSG Landers,"[4, 11]"
Kiwoom Heroes,Doosan Bears,"[4, 6]"
KT Wiz Suwon,KIA Tigers,"[1, 11]"
LG Twins,Lotte Giants,"[5, 3]"
NC Dinos,Samsung Lions,"[4, 7]"
LG Twins,Lotte Giants,"[8, 9]"
NC Dinos,Samsung Lions,"[6, 4]"
KT Wiz Suwon,KIA Tigers,"[1, 2]"
Hanwha Eagles,SSG Landers,"[1, 9]"
Kiwoom Heroes,Doosan Bears,"[1, 4]"
Kiwoom Heroes,Doosan Bears,"[8, 2]"
NC Dinos,Samsung Lions,"[5, 4]"
KT Wiz Suwon,KIA Tigers,"[1, 3]"
LG Twins,Lotte Giants,"[9, 8]"
Hanwha Eagles,SSG Landers,"[4, 1]"
KT Wiz Suwon,Lotte Giants,"[6, 4]"
Samsung Lions,SSG Landers,"[3, 8]"
KIA Tigers,LG Twins,"[11, 4]"
Hanwha Eagles,Kiwoom Heroes,"[3, 0]"
Doosan Bears,NC Dinos,"[6, 2]"
Doosan Bears,NC Dinos,"[5, 7]"
Hanwha Eagles,Kiwoom Heroes,"[14, 11]"
KT Wiz Suwon,Lotte Giants,"[5, 13]"
Samsung Lions,SSG Landers,"[13, 2]"
KIA Tigers,LG Twins,"[5, 7]"
Doosan Bears,NC Dinos,"[2, 0]"
Hanwha Eagles,Kiwoom Heroes,"[0, 7]"
KIA Tigers,LG Twins,"[6, 5]"
KT Wiz Suwon,Lotte Giants,"[7, 6]"
Samsung Lions,SSG Landers,"[4, 0]"
Samsung Lions,Doosan Bears,"[7, 4]"
SSG Landers,NC Dinos,"[2, 3]"
LG Twins,KT Wiz Suwon,"[2, 3]"
Kiwoom Heroes,Lotte Giants,"[5, 2]"
KIA Tigers,Hanwha Eagles,"[8, 3]"
SSG Landers,NC Dinos,"[12, 4]"
Kiwoom Heroes,Lotte Giants,"[1, 6]"
Samsung Lions,Doosan Bears,"[7, 4]"
KIA Tigers,Hanwha Eagles,"[8, 9]"
LG Twins,KT Wiz Suwon,"[7, 2]"
Kiwoom Heroes,Lotte Giants,"[2, 10]"
KIA Tigers,Hanwha Eagles,"[4, 1]"
Samsung Lions,Doosan Bears,"[10, 4]"
SSG Landers,NC Dinos,"[6, 18]"
LG Twins,KT Wiz Suwon,"[3, 4]"
Hanwha Eagles,Doosan Bears,"[5, 4]"
Kiwoom Heroes,NC Dinos,"[6, 5]"
LG Twins,Samsung Lions,"[4, 0]"
Lotte Giants,KIA Tigers,"[15, 15]"
SSG Landers,KT Wiz Suwon,"[1, 6]"
Lotte Giants,KIA Tigers,"[6, 4]"
SSG Landers,KT Wiz Suwon,"[10, 5]"
LG Twins,Samsung Lions,"[2, 1]"
Kiwoom Heroes,NC Dinos,"[10, 7]"
Hanwha Eagles,Doosan Bears,"[8, 15]"
Lotte Giants,KIA Tigers,"[11, 2]"
SSG Landers,KT Wiz Suwon,"[8, 16]"
Hanwha Eagles,Doosan Bears,"[8, 3]"
LG Twins,Samsung Lions,"[1, 2]"
Kiwoom Heroes,NC Dinos,"[9, 7]"
Lotte Giants,Hanwha Eagles,"[6, 4]"
NC Dinos,LG Twins,"[8, 2]"
KT Wiz Suwon,Samsung Lions,"[5, 4]"
KIA Tigers,Kiwoom Heroes,"[6, 17]"
Doosan Bears,SSG Landers,"[10, 0]"
Doosan Bears,SSG Landers,"[0, 6]"
KT Wiz Suwon,Samsung Lions,"[2, 2]"
Doosan Bears,SSG Landers,"[1, 3]"
NC Dinos,LG Twins,"[6, 9]"
KT Wiz Suwon,Samsung Lions,"[2, 1]"
Samsung Lions,KIA Tigers,"[5, 9]"
Hanwha Eagles,KT Wiz Suwon,"[5, 6]"
Kiwoom Heroes,LG Twins,"[4, 2]"
Doosan Bears,Lotte Giants,"[13, 8]"
Hanwha Eagles,KT Wiz Suwon,"[2, 3]"
Kiwoom Heroes,LG Twins,"[4, 1]"
NC Dinos,SSG Landers,"[4, 1]"
Samsung Lions,KIA Tigers,"[4, 6]"
