home,away,ft
Chicago Wolves,Milwaukee Admirals,"[4, 1]"
Charlotte Checkers,Springfield Thunderbirds,"[4, 3]"
Cleveland Monsters,Utica Comets,"[2, 3]"
Wilkes-Barre/Scranton,Toronto Marlies,"[0, 3]"
Rochester Americans,Syracuse Crunch,"[2, 5]"
Tucson Roadrunners,San Diego Gulls,"[5, 1]"
Bakersfield Condors,Henderson Silver Knights,"[5, 1]"
Coachella Valley Firebirds,San Jose Barracuda,"[2, 5]"
Ontario Reign,Calgary Wranglers,"[2, 1]"
Cleveland Monsters,Utica Comets,"[6, 1]"
Laval Rocket,Belleville Senators,"[2, 1]"
Grand Rapids Griffins,Milwaukee Admirals,"[1, 6]"
Hartford Wolf Pack,Providence Bruins,"[0, 1]"
Lehigh Valley Phantoms,Toronto Marlies,"[7, 2]"
Rochester Americans,Syracuse Crunch,"[3, 1]"
Iowa Wild,Chicago Wolves,"[2, 3]"
Abbotsford Canucks,Tucson Roadrunners,"[2, 4]"
Calgary Wranglers,Henderson Silver Knights,"[5, 3]"
Colorado Eagles,San Diego Gulls,"[5, 1]"
Bakersfield Condors,San Jose Barracuda,"[2, 0]"
Coachella Valley Firebirds,Ontario Reign,"[1, 4]"
Charlotte Checkers,Bridgeport Islanders,"[6, 2]"
Abbotsford Canucks,Tucson Roadrunners,"[2, 4]"
Colorado Eagles,San Diego Gulls,"[5, 3]"
Wilkes-Barre/Scranton,Lehigh Valley Phantoms,"[7, 2]"
Belleville Senators,Springfield Thunderbirds,"[5, 2]"
Hershey Bears,Toronto Marlies,"[3, 7]"
Milwaukee Admirals,Texas Stars,"[0, 4]"
Providence Bruins,Hartford Wolf Pack,"[2, 4]"
Chicago Wolves,Iowa Wild,"[4, 1]"
Ontario Reign,Coachella Valley Firebirds,"[4, 2]"
San Jose Barracuda,Bakersfield Condors,"[2, 4]"
Calgary Wranglers,Henderson Silver Knights,"[0, 3]"
Cleveland Monsters,Rochester Americans,"[2, 3]"
Laval Rocket,Springfield Thunderbirds,"[3, 1]"
Manitoba Moose,Rockford IceHogs,"[1, 5]"
Charlotte Checkers,Bridgeport Islanders,"[1, 4]"
Hershey Bears,Wilkes-Barre/Scranton,"[0, 1]"
Toronto Marlies,Belleville Senators,"[3, 0]"
Bridgeport Islanders,Providence Bruins,"[1, 4]"
Laval Rocket,Syracuse Crunch,"[1, 4]"
Rochester Americans,Utica Comets,"[6, 3]"
Springfield Thunderbirds,Hartford Wolf Pack,"[5, 2]"
Wilkes-Barre/Scranton,Lehigh Valley Phantoms,"[3, 2]"
Milwaukee Admirals,Chicago Wolves,"[4, 1]"
Rockford IceHogs,Iowa Wild,"[5, 0]"
Bakersfield Condors,Coachella Valley Firebirds,"[3, 4]"
Laval Rocket,Syracuse Crunch,"[2, 5]"
Henderson Silver Knights,San Jose Barracuda,"[2, 5]"
Hartford Wolf Pack,Providence Bruins,"[1, 4]"
Cleveland Monsters,Grand Rapids Griffins,"[1, 5]"
